ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Dt_year,Dt_month,Dt_day,Children,IsParent,MntTotal,Age,log_Age,log_Recency,log_Income,log_MntTotal,log_MntWines,log_MntFruits,log_MntMeatProducts,log_MntFishProducts,log_MntSweetProducts,log_MntGoldProds
387,1976,Basic,In a relationship,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,2012,11,13,0,0,61,49,3.912023005428146,4.0943445622221,8.922791623969637,4.127134385045092,1.9459101490553132,2.833213344056216,2.4849066497880004,2.4849066497880004,0.6931471805599453,2.833213344056216
2125,1959,Graduation,Single,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,2013,11,15,0,0,1102,66,4.204692619390966,4.418840607796598,11.051429542337106,7.005789019253503,5.272999558563747,4.127134385045092,6.175867270105761,5.420534999272286,4.727387818712341,3.4339872044851463
8180,1952,Master,Single,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,2013,11,15,2,1,310,73,4.304065093204169,3.9889840465642745,10.991291642487635,5.739792912179234,5.455321115357702,1.0986122886681096,3.9889840465642745,1.3862943611198906,1.791759469228055,2.70805020110221
2569,1987,Graduation,In a relationship,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,2012,10,10,0,0,46,38,3.6635616461296463,3.6635616461296463,9.759848102334518,3.8501476017100584,1.3862943611198906,2.70805020110221,2.8903717578961645,1.9459101490553132,0.6931471805599453,1.791759469228055
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,2012,11,24,0,0,1315,79,4.382026634673881,3.1780538303479458,11.324195417595107,7.182352111885263,6.914730892718563,3.1354942159291497,4.7535901911063645,4.0943445622221,4.23410650459726,3.828641396489095
9736,1980,Graduation,In a relationship,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2012,12,24,2,1,96,45,3.828641396489095,3.9512437185814275,10.641870970494749,4.574710978503383,3.9889840465642745,1.791759469228055,2.995732273553991,1.0986122886681096,2.639057329615259,1.6094379124341003
4939,1946,Graduation,In a relationship,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,2012,8,31,0,0,317,79,4.382026634673881,3.044522437723423,10.539032102959615,5.762051382780177,4.442651256490317,1.791759469228055,3.6635616461296463,5.017279836814924,2.5649493574615367,3.367295829986474
6565,1949,Master,In a relationship,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,2013,3,28,1,1,1782,76,4.343805421853684,4.5217885770490405,11.251508751434526,7.48605261786314,6.920671504248683,4.394449154672439,6.212606095751519,0.0,2.833213344056216,5.176149732573829
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,2012,11,3,1,1,133,40,3.713572066704308,4.465908118654584,10.428600622910189,4.897839799950911,1.6094379124341003,2.8903717578961645,2.995732273553991,3.4339872044851463,3.2188758248682006,3.6888794541139363
9360,1982,Graduation,In a relationship,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,2012,8,8,0,0,316,43,3.784189633918261,3.7376696182833684,10.519780686235853,5.75890177387728,4.465908118654584,1.0986122886681096,4.304065093204169,4.248495242049359,3.6635616461296463,3.8918202981106265
1993,1949,PhD,In a relationship,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,2012,12,23,1,1,972,76,4.343805421853684,4.1588830833596715,10.978626485018596,6.880384082186005,6.7661917146603505,0.0,4.465908118654584,0.0,0.0,2.995732273553991
4047,1954,PhD,In a relationship,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,2014,1,11,1,1,544,71,4.276666119016055,0.0,11.087130090388813,6.300785794663244,5.953243334287785,0.0,4.634728988229636,3.091042453358316,3.4965075614664802,1.791759469228055
1409,1951,Graduation,In a relationship,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,2013,3,18,1,1,444,74,4.31748811353631,4.248495242049359,10.613737640995735,6.09807428216624,5.602118820879701,1.3862943611198906,3.332204510175204,3.6888794541139363,1.9459101490553132,4.605170185988092
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,2013,1,2,0,0,75,56,4.04305126783455,4.499809670330265,9.83037908071549,4.330733340286331,1.9459101490553132,1.6094379124341003,3.258096538021482,2.772588722239781,2.5649493574615367,2.639057329615259
2404,1976,Graduation,In a relationship,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,2013,5,27,2,1,257,49,3.912023005428146,1.6094379124341003,10.884816680589505,5.552959584921617,5.159055299214529,1.6094379124341003,3.4339872044851463,1.3862943611198906,1.9459101490553132,3.7376696182833684
9422,1989,Graduation,In a relationship,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,2013,5,31,1,1,131,36,3.6109179126442243,3.295836866004329,10.554796597479278,4.882801922586371,3.6109179126442243,1.0986122886681096,3.7612001156935624,3.044522437723423,3.091042453358316,2.3978952727983707
1966,1965,PhD,In a relationship,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,2013,11,22,0,0,1672,60,4.110873864173311,4.574710978503383,11.345914106667006,7.422373700986824,6.529418838262226,4.61512051684126,6.687108607866515,3.091042453358316,4.204692619390966,0.0
6864,1989,Master,Single,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,2014,5,22,0,0,30,36,3.6109179126442243,3.5553480614894135,9.30383071506352,3.4339872044851463,2.1972245773362196,1.6094379124341003,2.3978952727983707,1.0986122886681096,1.0986122886681096,1.6094379124341003
3033,1963,Master,In a relationship,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,2013,5,11,0,0,318,62,4.143134726391533,4.04305126783455,10.561551448966803,5.765191102784844,4.727387818712341,2.8903717578961645,3.8066624897703196,3.5553480614894135,3.1354942159291497,4.499809670330265
5710,1970,Graduation,In a relationship,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,2012,10,10,1,1,120,55,4.02535169073515,3.4657359027997265,10.61026639832702,4.795790545596741,4.709530201312334,0.0,1.791759469228055,1.0986122886681096,0.0,1.3862943611198906
7373,1952,PhD,Single,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,2012,10,29,2,1,302,73,4.304065093204169,2.1972245773362196,10.749591843760111,5.713732805509369,4.574710978503383,2.5649493574615367,4.574710978503383,3.5263605246161616,3.1354942159291497,3.784189633918261
8755,1946,Master,In a relationship,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,2013,2,20,0,0,1196,79,4.382026634673881,1.6094379124341003,11.13689293754577,7.087573705557973,6.180016653652572,3.5553480614894135,6.156978985585555,4.787491742782046,4.23410650459726,3.1354942159291497
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,2013,8,29,2,1,65,74,4.31748811353631,4.02535169073515,10.807503253534671,4.189654742026425,3.713572066704308,0.0,2.995732273553991,1.0986122886681096,0.6931471805599453,1.3862943611198906
4339,1970,PhD,In a relationship,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,2013,12,31,1,1,913,55,4.02535169073515,3.6375861597263857,11.117717571314712,6.81783057145415,6.555356891810665,2.8903717578961645,5.0238805208462765,0.0,2.1972245773362196,3.58351893845611
10755,1976,2n Cycle,In a relationship,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,2013,9,2,1,1,81,49,3.912023005428146,4.343805421853684,10.074031693706946,4.406719247264253,1.9459101490553132,1.3862943611198906,2.70805020110221,2.772588722239781,2.0794415416798357,3.6109179126442243
8595,1973,Graduation,Single,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,2014,2,11,1,1,67,52,3.970291913552122,4.605170185988092,10.65561093819637,4.219507705176107,4.02535169073515,0.0,1.9459101490553132,1.0986122886681096,0.0,1.6094379124341003
2968,1943,PhD,Single,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,2013,2,1,0,0,902,82,4.418840607796598,3.9889840465642745,10.79853421874079,6.805722553416985,6.082218910376446,2.1972245773362196,5.332718793265369,5.081404364984463,3.912023005428146,3.7612001156935624
8601,1980,Graduation,In a relationship,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,2013,4,29,1,1,1395,45,3.828641396489095,1.3862943611198906,11.289931902407144,7.241366283322318,6.045005314036012,4.343805421853684,6.285998094508865,4.418840607796598,5.187385805840755,4.634728988229636
503,1985,Master,In a relationship,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,2013,3,12,1,1,53,40,3.713572066704308,4.48863636973214,9.931102719569102,3.9889840465642745,2.639057329615259,0.6931471805599453,3.4011973816621555,1.3862943611198906,0.0,2.0794415416798357
8430,1957,Graduation,In a relationship,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,2012,12,24,1,1,22,68,4.23410650459726,1.6094379124341003,9.99857043378282,3.1354942159291497,2.302585092994046,0.0,1.9459101490553132,1.3862943611198906,0.6931471805599453,1.3862943611198906
2139,1975,Master,In a relationship,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,2013,10,2,1,1,31,50,3.9318256327243257,2.995732273553991,8.922791623969637,3.4657359027997265,1.3862943611198906,0.6931471805599453,2.3978952727983707,1.3862943611198906,1.0986122886681096,2.5649493574615367
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,2014,6,28,0,0,984,49,3.912023005428146,4.290459441148391,11.289056650716423,6.892641641172089,4.820281565605037,5.10594547390058,5.58724865840025,5.429345628954441,3.4339872044851463,5.1647859739235145
9909,1996,2n Cycle,In a relationship,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,2012,11,9,0,0,122,29,3.4011973816621555,3.2188758248682006,8.922791623969637,4.812184355372417,1.3862943611198906,2.9444389791664403,2.70805020110221,2.772588722239781,3.1354942159291497,3.9318256327243257
7286,1968,Graduation,In a relationship,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,2013,5,24,1,1,55,57,4.060443010546419,4.532599493153256,10.638951609723101,4.02535169073515,2.639057329615259,1.9459101490553132,2.772588722239781,1.3862943611198906,1.791759469228055,2.639057329615259
6566,1954,PhD,In a relationship,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,2012,11,8,2,1,1319,71,4.276666119016055,3.6888794541139363,11.19204504181486,7.1853870155804165,6.717804695023691,3.9318256327243257,5.762051382780177,3.9318256327243257,3.6635616461296463,3.6635616461296463
8614,1957,Graduation,Single,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,2014,5,12,1,1,507,68,4.23410650459726,3.4011973816621555,11.089606928642473,6.230481447578482,5.5053315359323625,2.995732273553991,4.836281906951478,3.6375861597263857,4.219507705176107,2.70805020110221
4114,1964,Master,In a relationship,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,2012,8,11,0,0,1693,61,4.127134385045092,1.0986122886681096,11.279024257003059,7.434847875211999,6.478509642208569,3.6375861597263857,6.660575149839686,3.332204510175204,5.123963979403259,3.4965075614664802
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2013,1,2,1,1,72,48,3.8918202981106265,4.007333185232471,10.485451744135313,4.290459441148391,2.5649493574615367,1.9459101490553132,3.044522437723423,3.4339872044851463,0.6931471805599453,1.3862943611198906
2225,1977,Graduation,Single,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,2014,6,7,0,0,1617,48,3.8918202981106265,4.007333185232471,11.321559127189037,7.388946097618437,6.236369590203704,4.795790545596741,6.311734809152915,5.056245805348308,3.713572066704308,5.488937726156687
9381,1978,Graduation,In a relationship,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,2013,6,12,2,1,606,47,3.8712010109078907,4.060443010546419,11.103060692517378,6.408528791059498,5.796057750765372,2.302585092994046,4.8283137373023015,2.5649493574615367,3.2188758248682006,4.700480365792417
6260,1955,Master,In a relationship,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,2012,11,19,0,0,1957,70,4.2626798770413155,4.02535169073515,11.319158660491532,7.579678823090456,6.892641641172089,3.9512437185814275,6.07073772800249,5.198497031265826,4.795790545596741,5.25227342804663
10383,1966,Graduation,Single,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,2013,4,2,0,0,1093,59,4.0943445622221,3.4339872044851463,11.160356366215561,6.9975959829819265,5.69035945432406,3.58351893845611,6.180016653652572,4.804021044733257,4.795790545596741,3.713572066704308
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,2014,4,28,1,1,29,37,3.6375861597263857,3.4657359027997265,10.237778841189767,3.4011973816621555,2.639057329615259,0.0,2.1972245773362196,1.0986122886681096,0.6931471805599453,1.791759469228055
8375,1968,PhD,In a relationship,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,2014,3,3,1,1,518,57,4.060443010546419,4.1588830833596715,10.932303075252127,6.251903883165888,6.104793232414985,0.0,3.367295829986474,0.0,0.0,3.784189633918261
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,2013,7,4,0,0,1438,43,3.784189633918261,2.5649493574615367,11.2355632920364,7.271703706887368,6.569481420414296,3.295836866004329,6.289715570908998,4.248495242049359,2.639057329615259,4.394449154672439
3076,1975,Graduation,In a relationship,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,2012,9,7,2,1,612,50,3.9318256327243257,2.9444389791664403,11.107270338809778,6.418364935936212,6.115892125483034,2.9444389791664403,4.634728988229636,2.833213344056216,2.9444389791664403,1.9459101490553132
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,2013,2,18,1,1,884,73,4.304065093204169,3.295836866004329,11.03204691757219,6.785587645007929,6.261491684321042,2.0794415416798357,4.90527477843843,3.6375861597263857,2.70805020110221,5.135798437050262
6518,1951,PhD,Single,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,2013,6,11,1,1,606,74,4.31748811353631,2.1972245773362196,11.122560769584661,6.408528791059498,6.304448802421981,0.0,3.8918202981106265,0.0,1.9459101490553132,1.9459101490553132
4137,1948,Graduation,In a relationship,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,2013,12,6,0,0,1076,77,4.356708826689592,3.4011973816621555,11.165733981956047,6.981934677156389,5.988961416889864,3.713572066704308,5.908082938168931,4.787491742782046,4.812184355372417,3.4339872044851463
8082,1971,Graduation,In a relationship,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,2013,5,21,1,1,34,54,4.007333185232471,4.330733340286331,10.155101935826032,3.5553480614894135,0.6931471805599453,1.3862943611198906,1.9459101490553132,1.3862943611198906,1.9459101490553132,2.772588722239781
1386,1967,Graduation,In a relationship,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2014,5,11,2,1,11,58,4.07753744390572,0.0,10.3882258415388,2.4849066497880004,2.3978952727983707,0.0,0.6931471805599453,0.0,0.0,0.0
9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,2014,3,19,1,1,1274,46,3.8501476017100584,2.995732273553991,11.387305551045577,7.150701457592526,6.535241271013659,2.70805020110221,5.736572297479192,5.308267697401205,3.2188758248682006,3.6635616461296463
4477,1958,Graduation,In a relationship,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,2013,9,27,1,1,653,67,4.219507705176107,1.6094379124341003,11.143266593473202,6.483107351457199,5.5134287461649825,3.912023005428146,5.075173815233827,2.0794415416798357,4.418840607796598,4.700480365792417
1357,1970,Graduation,In a relationship,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,2013,4,8,3,1,1562,55,4.02535169073515,4.51085950651685,11.223308187883937,7.354362330421477,6.75343791859778,4.0943445622221,6.1903154058531475,4.07753744390572,3.4011973816621555,4.304065093204169
1402,1954,Master,In a relationship,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,2012,9,11,0,0,1253,71,4.276666119016055,0.6931471805599453,11.112328488258925,7.134093721192866,6.208590026096629,3.6109179126442243,6.133398042996649,5.247024072160486,4.110873864173311,2.5649493574615367
6312,1959,Graduation,In a relationship,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,2013,3,17,1,1,863,66,4.204692619390966,3.4011973816621555,11.082634735426408,6.761572768804055,5.556828061699537,4.68213122712422,5.676753802268282,4.442651256490317,3.6375861597263857,4.465908118654584
8132,1975,PhD,In a relationship,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,2013,4,5,2,1,661,50,3.9318256327243257,4.48863636973214,11.012578085491866,6.495265555937008,6.338594078203183,1.9459101490553132,4.189654742026425,0.0,1.9459101490553132,2.995732273553991
1050,1952,Graduation,In a relationship,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,2014,4,30,0,0,65,73,4.304065093204169,4.07753744390572,10.251782482029256,4.189654742026425,2.70805020110221,2.3978952727983707,2.639057329615259,1.6094379124341003,2.772588722239781,2.302585092994046
5846,1977,Graduation,Single,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,2012,12,19,1,1,13,48,3.8918202981106265,4.23410650459726,10.60279074590741,2.639057329615259,1.0986122886681096,0.6931471805599453,1.9459101490553132,1.0986122886681096,0.6931471805599453,0.6931471805599453
1859,1972,Master,In a relationship,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,2012,8,27,0,0,1890,53,3.9889840465642745,3.5553480614894135,11.228597760331022,7.544861068658458,6.582025138892826,4.718498871295094,6.8308742346461795,4.584967478670572,2.9444389791664403,2.9444389791664403
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,2012,10,12,0,0,2209,49,3.912023005428146,3.713572066704308,11.236196520732264,7.700747794511798,6.940222469119639,4.663439094112067,6.659293919683638,4.927253685157205,4.663439094112067,3.9512437185814275
10401,1976,2n Cycle,In a relationship,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,2013,9,4,0,0,18,49,3.912023005428146,2.5649493574615367,10.17835030752565,2.9444389791664403,0.6931471805599453,0.0,1.791759469228055,0.0,1.3862943611198906,2.302585092994046
1618,1965,Graduation,In a relationship,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,2013,1,2,0,0,692,60,4.110873864173311,2.302585092994046,10.933945903428258,6.541029999189903,6.359573868672378,0.0,4.174387269895637,0.0,0.0,3.9512437185814275
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,2012,8,29,1,1,165,40,3.713572066704308,4.477336814478207,10.300954090533025,5.111987788356544,4.174387269895637,1.6094379124341003,4.23410650459726,2.0794415416798357,1.791759469228055,2.8903717578961645
2261,1969,Graduation,In a relationship,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2013,6,23,1,1,16,56,4.04305126783455,1.791759469228055,10.177514314164908,2.833213344056216,1.6094379124341003,0.6931471805599453,1.791759469228055,1.0986122886681096,0.0,1.6094379124341003
5346,1973,2n Cycle,In a relationship,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,2013,7,3,1,1,79,52,3.970291913552122,4.477336814478207,10.067305637765523,4.382026634673881,3.258096538021482,1.791759469228055,2.995732273553991,2.0794415416798357,0.0,3.1780538303479458
4119,1963,Master,In a relationship,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,2013,5,11,0,0,318,62,4.143134726391533,4.04305126783455,10.561551448966803,5.765191102784844,4.727387818712341,2.8903717578961645,3.8066624897703196,3.5553480614894135,3.1354942159291497,4.499809670330265
535,1987,Graduation,Single,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,2014,2,25,0,0,778,38,3.6635616461296463,2.9444389791664403,11.306663612524535,6.658011045870748,5.099866427824199,3.1780538303479458,6.052089168924417,3.332204510175204,4.189654742026425,4.343805421853684
